verification_date,location,station_code,actual_high_c,provider_id,agency,product,forecast_location,period_name,forecast_high_c,error_c,absolute_error_c,rating,rank,forecast_issue_time,captured_at,capture_methodology,source_url,published_at
2026-08-14,Toronto Pearson International Airport,YYZ,27.4,eccc_public,Environment and Climate Change Canada,Official City Forecast,Toronto,Friday,28.0,0.6,0.6,Very good,1,2026-08-13T15:41:00-04:00,2026-08-13T16:49:51-04:00,day1_1600_local_v2,https://dd.weather.gc.ca/today/citypage_weather/ON/20/20260813T200115.221Z_MSC_CitypageWeather_s0000458_en.xml,2026-08-15T12:42:18-04:00
2026-08-15,Toronto Pearson International Airport,YYZ,24.6,eccc_public,Environment and Climate Change Canada,Official City Forecast,Toronto,Saturday,27.0,2.4,2.4,Fair,1,2026-08-14T16:22:00-04:00,2026-08-14T16:36:02-04:00,day1_1600_local_v2,https://dd.weather.gc.ca/today/citypage_weather/ON/20/20260814T202419.951Z_MSC_CitypageWeather_s0000458_en.xml,2026-08-16T12:43:07-04:00
2026-08-16,Toronto Pearson International Airport,YYZ,26.6,eccc_public,Environment and Climate Change Canada,Official City Forecast,Toronto,Sunday,26.0,-0.6,0.6,Very good,1,2026-08-15T15:30:00-04:00,2026-08-15T16:28:02-04:00,day1_1600_local_v2,https://dd.weather.gc.ca/today/citypage_weather/ON/20/20260815T200116.392Z_MSC_CitypageWeather_s0000458_en.xml,2026-08-17T12:46:00-04:00
2026-08-17,Toronto Pearson International Airport,YYZ,26.8,eccc_public,Environment and Climate Change Canada,Official City Forecast,Toronto,Monday,28.0,1.2,1.2,Good,1,2026-08-16T15:30:00-04:00,2026-08-16T16:28:26-04:00,day1_1600_local_v2,https://dd.weather.gc.ca/today/citypage_weather/ON/20/20260816T200104.153Z_MSC_CitypageWeather_s0000458_en.xml,2026-08-18T12:49:05-04:00
2026-08-18,Toronto Pearson International Airport,YYZ,27.1,eccc_public,Environment and Climate Change Canada,Official City Forecast,Toronto,Tuesday,27.0,-0.1,0.1,Excellent,1,2026-08-17T15:30:00-04:00,2026-08-17T16:32:17-04:00,day1_1600_local_v2,https://dd.weather.gc.ca/today/citypage_weather/ON/20/20260817T200117.938Z_MSC_CitypageWeather_s0000458_en.xml,2026-08-19T12:47:08-04:00
2026-08-19,Toronto Pearson International Airport,YYZ,27.5,eccc_public,Environment and Climate Change Canada,Official City Forecast,Toronto,Wednesday,25.0,-2.5,2.5,Fair,1,2026-08-18T15:30:00-04:00,2026-08-18T16:30:22-04:00,day1_1600_local_v2,https://dd.weather.gc.ca/today/citypage_weather/ON/20/20260818T200115.590Z_MSC_CitypageWeather_s0000458_en.xml,2026-08-20T12:51:12-04:00
2026-08-20,Toronto Pearson International Airport,YYZ,24.9,eccc_public,Environment and Climate Change Canada,Official City Forecast,Toronto,Thursday,26.0,1.1,1.1,Good,1,2026-08-19T15:30:00-04:00,2026-08-19T16:34:13-04:00,day1_1600_local_v2,https://dd.weather.gc.ca/today/citypage_weather/ON/20/20260819T200129.522Z_MSC_CitypageWeather_s0000458_en.xml,2026-08-21T12:51:37-04:00
2026-08-21,Toronto Pearson International Airport,YYZ,25.2,eccc_public,Environment and Climate Change Canada,Official City Forecast,Toronto,Friday,26.0,0.8,0.8,Very good,1,2026-08-20T15:30:00-04:00,2026-08-20T16:34:36-04:00,day1_1600_local_v2,https://dd.weather.gc.ca/today/citypage_weather/ON/20/20260820T200117.538Z_MSC_CitypageWeather_s0000458_en.xml,2026-08-22T12:41:20-04:00
2026-08-22,Toronto Pearson International Airport,YYZ,25.5,eccc_public,Environment and Climate Change Canada,Official City Forecast,Toronto,Saturday,26.0,0.5,0.5,Excellent,1,2026-08-21T16:21:00-04:00,2026-08-21T16:31:02-04:00,day1_1600_local_v2,https://dd.weather.gc.ca/today/citypage_weather/ON/20/20260821T202403.281Z_MSC_CitypageWeather_s0000458_en.xml,2026-08-23T12:43:46-04:00
2026-08-23,Toronto Pearson International Airport,YYZ,20.7,eccc_public,Environment and Climate Change Canada,Official City Forecast,Toronto,Sunday,21.0,0.3,0.3,Excellent,1,2026-08-22T15:30:00-04:00,2026-08-22T16:28:52-04:00,day1_1600_local_v2,https://dd.weather.gc.ca/today/citypage_weather/ON/20/20260822T202557.148Z_MSC_CitypageWeather_s0000458_en.xml,2026-08-24T12:55:48-04:00
2026-08-24,Toronto Pearson International Airport,YYZ,22.4,eccc_public,Environment and Climate Change Canada,Official City Forecast,Toronto,Monday,20.0,-2.4,2.4,Fair,1,2026-08-23T15:30:00-04:00,2026-08-23T16:29:31-04:00,day1_1600_local_v2,https://dd.weather.gc.ca/today/citypage_weather/ON/20/20260823T200054.835Z_MSC_CitypageWeather_s0000458_en.xml,2026-08-25T12:56:03-04:00
